2023-02-08 13:27:52.428 [main.py] INFO    | 進入VG主頁
2023-02-08 13:27:54.579 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:27:55.649 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:35:13.460 [main.py] INFO    | 進入VG主頁
2023-02-08 13:35:19.381 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:35:20.611 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:36:20.189 [main.py] INFO    | 進入VG主頁
2023-02-08 13:36:22.507 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:36:23.508 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:38:56.008 [main.py] INFO    | 進入VG主頁
2023-02-08 13:38:58.089 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:38:58.955 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:45:02.001 [main.py] INFO    | 進入VG主頁
2023-02-08 13:45:04.098 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:45:05.119 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:49:00.538 [main.py] INFO    | 進入VG主頁
2023-02-08 13:49:02.777 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:49:03.616 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:50:38.840 [main.py] INFO    | 進入VG主頁
2023-02-08 13:50:40.425 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:50:41.274 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 13:52:30.531 [main.py] INFO    | 進入VG主頁
2023-02-08 13:52:32.105 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 13:52:32.943 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:00:38.890 [main.py] INFO    | 進入VG主頁
2023-02-08 14:00:41.097 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 14:00:42.045 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:02:56.208 [main.py] INFO    | 進入VG主頁
2023-02-08 14:02:58.091 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 14:02:59.015 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:04:33.146 [main.py] INFO    | 進入VG主頁
2023-02-08 14:04:35.232 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 14:04:36.233 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:07:03.089 [main.py] INFO    | 進入VG主頁
2023-02-08 14:07:10.843 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 14:07:11.801 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:09:03.732 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 14:09:18.763 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 14:09:33.773 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 14:12:29.813 [main.py] INFO    | 進入VG主頁
2023-02-08 14:12:31.848 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 14:12:32.689 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:14:47.547 [main.py] INFO    | 進入VG主頁
2023-02-08 14:14:50.530 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 14:14:51.350 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 14:59:04.921 [main.py] INFO    | 進入VG主頁
2023-02-08 14:59:07.055 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 17:40:28.240 [main.py] INFO    | 進入VG主頁
2023-02-08 17:40:30.184 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 17:41:05.853 [face_backend.py] INFO    | 人臉:成功儲存新設定的圍籬區域:
[[(245, 117), (956, 111), (1105, 965), (63, 928)]]
2023-02-08 17:41:05.858 [face_api.py] INFO    | 虛擬圍籬設定成功
2023-02-08 17:41:11.578 [face_backend.py] INFO    | 人臉:成功儲存新設定的圍籬區域:
[[(245, 117), (956, 111), (1105, 965), (63, 928)]]
2023-02-08 17:41:11.580 [face_api.py] INFO    | 虛擬圍籬設定成功
2023-02-08 17:41:21.325 [face_backend.py] INFO    | 人臉:成功儲存新設定的圍籬區域:
[[(472, 90), (1759, 57), (1729, 1013), (423, 989)]]
2023-02-08 17:41:21.327 [face_api.py] INFO    | 虛擬圍籬設定成功
2023-02-08 17:41:27.728 [face_backend.py] INFO    | 人臉:成功儲存新設定的圍籬區域:
[[(472, 90), (1759, 57), (1729, 1013), (423, 989)]]
2023-02-08 17:41:27.730 [face_api.py] INFO    | 虛擬圍籬設定成功
2023-02-08 17:50:41.687 [main.py] INFO    | 進入VG主頁
2023-02-08 17:50:43.875 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 17:51:35.636 [face_backend.py] INFO    | 人臉:成功儲存新設定的圍籬區域:
[[(471, 92), (1757, 57), (1730, 1013), (422, 987)]]
2023-02-08 17:51:35.642 [face_api.py] INFO    | 虛擬圍籬設定成功
2023-02-08 17:53:25.747 [main.py] INFO    | 進入VG主頁
2023-02-08 17:53:27.691 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 17:53:35.031 [face_api.py] INFO    | 辨識登入門檻值設定變更成功
